"Category","Region","District","School","Location","Gender","Agric","Bus.","Tech","Home Econs","Vis. Arts","Gen. Arts","Gen. Sci.","Status","Action"
"","","","","","","","","","","","","","",""
"Category A","Greater Accra Region","Accra Metropolitan","Accra Academy","Bubuashie","Boys,Girls and Boarding","Yes","Yes","No","No","Yes","Yes","Yes","Day/Boarding",""
"Category A","Greater Accra Region","Accra Metropolitan","Accra Girls Senior High School","Maamobi","Girls, Day and Boarding","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Brong Ahafo Region","Jaman-North","St. Ann's Girls Senior High,Sampa","Sampa","Girls","No","No","No","Yes","No","Yes","No","Day",""
"Category A","Brong Ahafo Region","Berekum-Municipal","Berekum Presby Senior High","Berekum","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Central Region","Cape Coast Metropolitan","Holly Child School,Cape Coast","Cape Coast","Girls","No","No","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Ashanti Region","Kumasi Metro","St. Louis Senior High,Kumasi","Oduom-Kumasi","Girls","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Ashanti Region","Kumasi Metro","Yaa Asantewaa Girls Senior High.","Tanoso-Kumasi","Girls","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Central Region","Cape Coast Metropolitan.","AdIsadel College","Cape Coast","Boys Boarding.","No","Yes","No","No","Yes","Yes","Yes","Day/Boarding",""
"Category A","Eastern Region","Akwapim South Municipal","Aburi Girls Senior High","Aburi","Girls,Boarding.","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category A","Central Region","Cape Coast Metropolitan","Mfantsipim School","Cape Coast","Boys","No","No","Yes","No","Yes","Yes","Yes","Day/Boarding",""
"Category A","Ashanti Region","Kumasi Metro","T.I Ahmadiyya Senior High,Kumasi","Kumasi-Stadium","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
